name,ra,dec,V,CaHK_0,CaHKerr,FeH_pris,FeH_FERRE,FeH_FERRE_err,temp_FERRE,temp_FERRE_err,logg_FERRE,logg_FERRE_err,C_Fe_FERRE,C_Fe_FERRE_err,q_flag,c_flag,prev_obs
P184.2955+02.2702,184.29547119,2.27019715,16.526,17.141,0.021,-3.23,-2.87,0.22,5581,148,3.3,1.0,-0.13,0.57,X,-1,nan
P184.2997+43.4721,184.29968262,43.47211456,15.924,16.705,0.021,-2.94,-3.66,0.20,5509,103,5.0,0.5,0.41,0.44,X,-1,nan
P184.3778+04.7567,184.37783813,4.75671673,17.484,17.922,0.022,-3.06,-3.41,0.28,5736,103,5.0,0.5,-0.26,1.13,X,-1,nan
P184.4137+03.2812,184.41372681,3.28113341,15.570,15.916,0.020,-3.15,-2.36,0.20,6338,105,4.9,0.5,0.00,0.52,X,-1,LAMOST
P184.7026+10.6085,184.70268250,10.60852814,17.355,17.862,0.023,-3.42,-2.08,0.25,5925,103,5.0,0.5,0.20,0.42,X,-1,nan
P184.7471+10.6008,184.74708557,10.60075855,15.387,15.970,0.020,-3.44,-1.48,0.20,6033,102,1.0,0.5,-0.33,0.42,X,-1,nan
P184.7942+04.4143,184.79421997,4.41431665,15.213,15.807,0.020,-3.36,-2.60,0.20,5582,103,3.6,0.5,0.25,0.40,X,-1,nan
P185.0313+41.0860,185.03134155,41.08603668,14.851,15.527,0.020,-2.46,-2.66,0.20,5070,100,1.0,0.5,0.46,0.50,X,1,LAMOST
P185.0736+15.1006,185.07356262,15.10057735,15.177,15.837,0.020,-2.82,-2.37,0.21,5588,125,3.8,0.5,0.23,0.54,X,-1,nan
P185.1451+43.8280,185.14508057,43.82801056,15.228,15.783,0.020,-2.49,-2.63,0.21,5485,127,4.4,0.6,-0.26,0.56,X,-1,nan
P185.1560+06.1746,185.15605164,6.17462206,15.970,16.518,0.020,-1.92,-2.02,0.20,5845,113,4.2,0.5,0.15,0.51,X,-1,nan
P185.3534+06.6021,185.35342407,6.60212231,16.667,16.939,0.021,-3.85,-2.16,5.16,6070,103,5.0,0.5,-0.62,11.39,X,-1,SDSS
P185.3658+06.5829,185.36587524,6.58284998,15.862,16.213,0.021,-2.80,-2.07,0.20,6318,111,4.6,0.5,0.23,0.49,X,-1,LAMOST
P185.4094+07.2124,185.40939331,7.21238613,15.323,15.701,0.020,-2.80,-2.27,0.20,6285,108,4.8,0.5,0.07,0.46,X,-1,LAMOST
P185.6263+06.1900,185.62632751,6.18998051,15.183,15.451,0.020,-3.34,-2.86,0.31,6375,204,4.5,0.6,0.36,0.80,X,-1,nan
P185.6353+45.2597,185.63533020,45.25967026,14.919,15.722,0.020,-2.93,-2.45,0.20,5273,101,1.4,0.5,0.79,0.42,X,1,LAMOST
P185.8616+41.3093,185.86158752,41.30929947,15.828,16.709,0.021,-2.87,-2.79,0.20,5264,104,1.4,0.5,0.84,0.43,X,1,SEGUE
P186.1476+42.5499,186.14764404,42.54992676,16.283,17.001,0.021,-2.91,-2.93,0.21,5409,107,3.4,0.5,0.18,0.51,X,-1,nan
P186.1983+06.6728,186.19828796,6.67275286,14.975,15.309,0.020,-2.94,-2.27,0.20,6318,102,5.0,0.5,0.60,0.42,X,-1,nan
P186.2752+42.2991,186.27519226,42.29907990,14.648,15.060,0.020,-2.51,-2.69,0.20,6022,101,5.0,0.5,0.55,0.51,X,-1,LAMOST
P186.3341+03.9895,186.33415222,3.98954725,16.922,17.196,0.021,-3.53,-3.02,0.92,6222,103,5.0,0.5,-0.68,2.46,X,-1,nan
P186.4309+41.0403,186.43086243,41.04029465,14.685,15.438,0.020,-2.67,-2.42,0.20,5497,105,3.9,0.5,0.26,0.50,X,-1,LAMOST
P186.4918+43.8366,186.49179077,43.83657074,14.628,15.066,0.020,-3.49,-2.34,0.20,5916,104,4.2,0.5,0.18,0.21,X,-1,LAMOST
P186.5993+15.0468,186.59928894,15.04681110,15.107,15.494,0.020,-2.54,-2.44,0.21,6306,106,5.0,0.5,0.39,0.57,X,-1,LAMOST
P186.6057+49.0156,186.60568237,49.01555634,15.661,16.594,0.020,-2.77,-2.49,0.20,5241,101,1.1,0.5,0.83,0.41,X,1,nan
P186.6431+02.5875,186.64306641,2.58752489,16.548,17.309,0.022,-2.97,-2.94,0.21,4789,104,1.1,0.5,-0.21,0.50,X,-1,nan
P186.8443+43.6658,186.84434509,43.66575623,16.102,16.534,0.021,-2.83,-2.22,0.21,6208,107,4.9,0.5,-0.03,0.63,X,-1,nan
P186.9045+12.4967,186.90455627,12.49672508,16.736,16.946,0.021,-4.00,-2.24,10.00,6258,103,4.9,0.5,-1.00,10.01,X,-1,nan
P186.9308+13.9170,186.93083191,13.91702461,16.270,16.940,0.021,-3.15,-1.77,0.20,5505,106,1.1,0.5,0.43,0.41,X,-1,nan
P187.1128+00.9938,187.11276245,0.99381387,15.449,16.388,0.021,-2.80,-2.73,0.21,5103,108,1.5,0.5,0.65,0.52,X,1,nan
P187.2697+12.4200,187.26972961,12.42000294,15.770,16.636,0.021,-2.70,-2.38,0.20,5268,105,2.5,0.5,0.29,0.40,X,1,nan
P187.3190+07.7955,187.31898499,7.79553604,15.681,16.362,0.021,-2.99,-2.65,0.21,5564,113,3.7,0.5,0.74,0.41,X,1,nan
P187.4408+47.9899,187.44078064,47.98986053,15.616,16.061,0.020,-2.79,-1.98,0.20,6230,107,4.4,0.5,-0.50,0.49,X,-1,LAMOST
P187.5296+43.3039,187.52955627,43.30386353,15.004,15.528,0.020,-2.67,-2.31,0.20,5632,101,1.0,0.5,1.11,0.40,X,-1,LAMOST
P187.6734+07.9876,187.67344666,7.98758316,15.966,16.290,0.020,-3.05,-2.44,0.21,6283,112,4.5,0.5,0.05,0.74,X,-1,nan
P187.6769+47.3222,187.67694092,47.32221603,15.333,15.749,0.020,-2.40,-2.44,0.21,6352,126,4.6,0.5,0.02,0.73,X,-1,nan
P187.8951+00.9790,187.89512634,0.97900832,15.673,16.434,0.021,-3.12,-2.86,0.21,5348,105,1.2,0.5,0.02,0.68,X,-1,nan
P187.9163+04.8488,187.91632080,4.84882784,15.578,15.942,0.020,-2.72,-2.58,0.21,6412,107,4.9,0.5,1.05,0.41,X,-1,nan
P188.0262+00.2055,188.02633667,0.20535000,15.506,15.864,0.020,-2.97,-3.23,0.21,6049,112,4.8,0.5,1.14,0.51,X,-1,SEGUE
P188.0689+03.0955,188.06887817,3.09552503,16.197,17.019,0.021,-3.06,-2.40,0.20,5196,103,1.0,0.5,0.69,0.24,X,1,nan
P188.3101+50.2068,188.31005859,50.20679092,16.478,16.819,0.021,-3.15,-3.12,0.21,6286,110,5.0,0.5,0.55,0.87,X,-1,nan
P188.6012+14.6956,188.60107422,14.69555283,15.778,16.189,0.020,-2.79,-2.48,0.20,6181,106,4.7,0.5,-0.23,0.62,X,-1,nan
P188.7325+45.8737,188.73249817,45.87366486,16.136,16.746,0.021,-2.85,-2.71,0.22,5845,119,4.9,0.5,0.52,0.43,X,-1,nan
P188.8829+40.8142,188.88291931,40.81416702,15.022,15.391,0.020,-2.62,-2.37,0.20,6388,104,4.9,0.5,-0.29,0.59,X,-1,nan
P188.8954+42.9295,188.89535522,42.92952728,15.849,16.184,0.021,-2.71,-2.55,0.21,6284,118,4.6,0.5,-0.27,0.60,X,-1,nan
P189.1535+40.9681,189.15347290,40.96811295,15.594,15.943,0.020,-2.93,-2.42,0.20,6140,101,5.0,0.5,0.57,0.50,T,-1,LAMOST
P189.1606+10.9633,189.16067505,10.96330261,16.641,17.332,0.021,-3.04,-2.93,0.65,5648,107,5.0,0.6,-0.57,2.10,T,-1,nan
P189.2333+40.9626,189.23332214,40.96262360,15.996,16.355,0.021,-3.15,-2.17,0.20,6279,107,4.8,0.5,0.44,0.45,X,-1,nan
P189.6922+12.6743,189.69221497,12.67435551,14.939,15.254,0.020,-2.68,-2.27,0.21,6252,117,4.2,0.6,0.39,0.45,X,-1,nan
P189.7432+40.2783,189.74319458,40.27834320,16.094,16.843,0.021,-3.02,-2.95,0.20,5273,107,1.1,0.5,0.79,0.44,X,1,nan
P189.9052+15.0658,189.90513611,15.06577492,15.795,16.119,0.020,-2.72,-2.73,0.21,6386,110,4.8,0.5,0.60,0.73,X,-1,nan
P189.9858+09.1683,189.98588562,9.16836357,16.604,17.001,0.021,-3.55,-2.75,0.26,6172,106,5.0,0.5,0.68,0.79,X,-1,nan
P190.3948+06.1104,190.39472961,6.11044455,17.282,17.712,0.023,-3.40,-2.41,0.21,5639,128,2.8,0.7,-0.44,0.52,X,-1,nan
P190.5998+06.6805,190.59979248,6.68034458,15.803,16.160,0.020,-2.81,-0.76,0.20,5636,100,5.0,0.5,-1.35,0.50,X,-1,nan
P190.6140+11.2112,190.61395264,11.21120262,16.327,17.012,0.021,-2.99,-3.66,0.21,5017,176,1.4,1.3,-0.00,0.60,X,-1,nan
P190.6865+44.1673,190.68652344,44.16733551,15.601,15.975,0.020,-2.64,-2.78,0.20,6195,101,5.0,0.5,1.07,0.50,X,-1,nan
P190.8788+42.5220,190.87882996,42.52200699,15.751,16.088,0.021,-2.93,-2.70,0.21,6303,106,4.9,0.5,0.23,0.67,X,-1,SDSS
P190.9457+40.8230,190.94572449,40.82295990,14.955,15.715,0.020,-3.07,-2.62,0.20,5247,102,1.1,0.5,0.72,0.41,X,1,nan
P191.2562+43.7083,191.25621033,43.70826340,15.295,15.725,0.020,-2.65,-2.25,0.20,6116,100,5.0,0.5,0.51,0.40,X,-1,LAMOST
P191.3790+08.9379,191.37898254,8.93793011,15.681,16.833,0.021,-2.91,-1.90,0.20,5503,103,1.5,0.5,0.01,0.51,X,-1,nan
P191.8535+12.0508,191.85350037,12.05085278,15.215,15.517,0.020,-3.14,-3.88,0.23,6270,113,4.8,0.5,0.81,0.95,X,-1,nan
P192.3242+13.3956,192.32415771,13.39561081,15.606,16.026,0.020,-3.11,-2.75,0.20,6142,105,5.0,0.5,0.37,0.60,T,-1,nan
P192.6273+42.4131,192.62731934,42.41314697,15.654,16.076,0.020,-2.52,-2.27,0.20,6290,102,5.0,0.5,0.38,0.45,X,-1,SDSS
P192.8645+11.1296,192.86448669,11.12963581,15.107,15.907,0.020,-2.86,-2.35,0.20,5285,101,1.7,0.6,0.60,0.42,X,1,nan
P192.9658+11.1956,192.96575928,11.19559479,15.936,16.593,0.021,-2.88,-2.65,0.20,5302,101,1.0,0.5,1.09,0.30,X,1,nan
P193.7695+08.6762,193.76950073,8.67616940,15.976,17.568,0.022,-3.12,-2.29,0.21,5313,109,2.6,0.5,0.18,0.40,X,-1,SEGUE
P193.8747+14.9607,193.87466431,14.96059418,15.209,15.617,0.020,-2.50,-2.81,0.21,6181,115,4.9,0.5,0.70,0.54,T,-1,nan
P193.9912+42.9019,193.99124146,42.90188217,14.881,15.285,0.020,-2.50,-1.80,0.20,6556,104,4.7,0.5,-0.20,0.49,X,-1,nan
P194.3099+10.5339,194.30993652,10.53376102,15.770,16.043,0.020,-3.17,-2.87,0.20,6556,104,5.0,0.5,1.21,0.54,X,-1,SEGUE
P194.9935+12.0585,194.99345398,12.05850315,15.251,15.806,0.020,-2.36,-2.89,0.21,5935,107,4.9,0.5,0.63,0.44,X,-1,nan
P195.2173+11.4544,195.21723938,11.45435238,15.163,15.500,0.020,-2.98,-2.00,0.20,4750,100,5.0,0.5,-0.64,0.20,X,-1,nan
P195.9013+08.1004,195.90133667,8.10036659,16.011,16.504,0.021,-3.27,-0.65,0.20,5960,110,1.0,0.5,0.04,0.42,X,-1,nan
P195.9269+46.9762,195.92691040,46.97620392,14.695,15.429,0.020,-2.92,-2.72,0.20,5649,102,4.0,0.5,0.25,0.40,X,-1,nan
P195.9382+47.8321,195.93823242,47.83214569,15.980,16.552,0.021,-3.00,-2.21,0.20,5823,106,3.9,0.5,0.06,0.42,X,-1,nan
P196.0592+06.3088,196.05917358,6.30875826,15.655,15.942,0.020,-2.96,-2.84,0.21,6168,119,4.4,0.5,0.52,0.73,X,-1,nan
P196.2774+41.6028,196.27738953,41.60279846,14.834,15.657,0.020,-3.22,-2.69,0.20,5285,101,1.1,0.5,1.08,0.30,X,1,nan
P196.4159+40.0174,196.41593933,40.01744461,15.941,16.272,0.021,-2.85,-2.83,0.20,6105,101,5.0,0.5,-0.47,0.59,X,-1,LAMOST
P196.5342+15.6096,196.53421021,15.60955238,15.723,16.499,0.021,-1.00,-0.58,0.20,6438,115,3.3,0.5,-1.63,0.51,X,-1,nan
P196.5626+15.6328,196.56257629,15.63281155,15.262,16.197,0.020,-0.98,-0.49,0.20,6205,104,4.3,0.5,-1.69,0.50,X,-1,nan
P196.8143+15.2304,196.81436157,15.23039150,15.147,15.622,0.020,-3.47,-2.46,0.21,5677,107,2.4,0.6,0.03,0.36,X,-1,nan
P196.8591+15.2180,196.85911560,15.21804142,15.029,15.318,0.020,-3.08,-2.88,0.20,6352,103,5.0,0.5,-0.11,0.68,X,-1,nan
P196.9651+45.9918,196.96514893,45.99181366,15.293,16.651,0.021,-2.72,-2.64,0.20,5121,101,1.0,0.5,0.01,0.50,T,-1,nan
P197.5795+45.6437,197.57954407,45.64373779,14.064,15.144,0.020,-3.03,-2.71,0.20,5101,100,1.7,0.5,0.18,0.40,X,1,nan
P197.6994+40.8078,197.69943237,40.80780792,15.365,15.709,0.020,-2.76,-3.41,0.20,6075,100,5.0,0.5,-0.20,0.61,X,-1,nan
P197.7810+45.3909,197.78100586,45.39086533,14.723,15.574,0.020,-3.27,-0.76,0.20,6052,100,4.3,0.5,-1.16,0.50,X,-1,nan
P197.8285+43.0388,197.82846069,43.03883362,15.676,16.203,0.021,-2.96,-2.53,0.20,5961,102,5.0,0.5,0.31,0.41,X,-1,nan
P197.8653+45.4404,197.86529541,45.44042206,15.502,16.278,0.021,-2.95,-1.51,0.20,5768,102,1.0,0.5,-0.25,0.42,X,-1,nan
P198.0117+42.8031,198.01168823,42.80305099,16.419,16.912,0.021,-3.02,-2.02,0.20,5970,115,4.2,0.5,0.17,0.51,X,-1,nan
P198.4439+10.0606,198.44390869,10.06063366,16.053,16.720,0.021,-3.10,-2.50,0.21,5729,113,4.3,0.5,0.10,0.46,X,-1,nan
P198.4844+15.6616,198.48435974,15.66159725,16.238,16.806,0.021,-2.91,-2.61,0.21,5621,109,2.6,0.5,0.17,0.70,X,-1,nan
P198.6015+48.1983,198.60150146,48.19825745,15.272,15.697,0.020,-2.75,-2.28,0.20,6327,104,5.0,0.5,0.24,0.55,X,-1,nan
P198.7213+45.0606,198.72134399,45.06064606,15.462,15.852,0.020,-2.72,-2.96,0.20,6064,104,4.3,0.5,1.04,0.50,T,-1,nan
P198.8365+40.2789,198.83648682,40.27887344,15.061,15.806,0.020,-2.58,-1.83,0.20,5505,102,3.3,0.5,0.10,0.40,X,-1,nan
P199.0343+45.3234,199.03425598,45.32335663,15.653,16.021,0.020,-2.61,-2.52,0.20,6082,104,4.5,0.5,0.34,0.53,X,-1,nan
P199.2845+06.1518,199.28459167,6.15182781,15.509,16.226,0.021,-3.04,-2.61,0.20,5277,105,1.1,0.5,1.01,0.51,X,1,nan
P199.3704+07.9155,199.37046814,7.91553593,16.047,16.655,0.021,-2.50,0.08,0.20,5985,103,4.9,0.5,-2.03,0.41,X,-1,nan
P199.3928+14.4441,199.39277649,14.44407749,15.904,16.294,0.020,-3.12,-1.85,0.20,6357,101,4.6,0.5,0.27,0.32,X,-1,SDSS
P199.4014+07.9098,199.40142822,7.90976095,16.279,16.849,0.021,-3.83,-2.70,0.20,5302,103,1.1,0.5,1.16,0.50,X,-1,nan
P199.6157+41.0666,199.61572266,41.06658173,14.512,15.403,0.020,-2.61,-2.58,0.20,5170,102,1.3,0.5,0.79,0.31,X,1,nan
P199.8704+15.3087,199.87043762,15.30870533,16.322,17.114,0.021,-1.02,-1.22,0.20,5541,102,1.0,0.5,-0.02,0.41,X,-1,LAMOST
P199.9064+08.2233,199.90632629,8.22336674,15.340,15.730,0.020,-2.90,-2.03,0.20,5767,106,2.1,0.7,0.56,0.47,X,-1,nan
P199.9111+15.3811,199.91108704,15.38111687,15.960,16.787,0.021,-0.96,-0.73,0.20,5987,105,3.6,0.5,-1.49,0.40,X,-1,nan
P200.0374+15.6737,200.03744507,15.67373085,15.256,15.986,0.020,-1.05,-1.45,0.20,5778,108,4.3,0.5,-0.46,0.50,X,-1,nan
P200.1634+13.3103,200.16342163,13.31028843,15.534,16.235,0.020,-2.93,-2.54,0.21,5247,119,1.3,0.6,0.59,0.42,X,1,nan
P200.2499+15.2205,200.24995422,15.22051144,15.395,16.031,0.020,-1.28,-1.61,0.21,5943,130,3.8,0.6,-0.30,0.55,T,-1,nan
P200.6479+15.0812,200.64787292,15.08121967,16.102,16.637,0.021,-3.96,-1.24,0.20,5673,105,1.0,0.5,0.38,0.42,X,-1,nan
P200.7522+06.8974,200.75225830,6.89742517,16.378,16.615,0.021,-3.19,-2.78,0.22,6348,101,5.0,0.5,0.72,0.59,X,-1,nan
P201.1649+06.1065,201.16496277,6.10655260,14.842,15.444,0.020,-3.12,-2.56,0.20,5452,105,3.2,0.5,0.36,0.33,X,-1,nan
P201.1804+13.6056,201.18032837,13.60557175,15.759,16.297,0.020,-2.91,-2.47,0.21,5754,110,3.8,0.5,0.10,0.41,X,-1,nan
P201.7787+10.5245,201.77873230,10.52447510,15.810,16.134,0.020,-2.80,-2.67,0.21,5908,106,1.5,0.6,0.94,0.75,X,-1,nan
P202.2139+07.3670,202.21391296,7.36708069,16.021,16.361,0.021,-2.90,-3.17,0.42,6121,322,3.6,1.2,0.19,0.87,X,-1,nan
P202.7659+49.2187,202.76589966,49.21868515,15.260,17.927,0.021,-99.99,-2.44,0.21,6120,117,4.2,0.5,-0.17,0.66,X,-1,nan
P202.8522+06.9499,202.85217285,6.94989443,15.336,15.967,0.020,-2.83,-2.29,0.20,5563,104,3.5,0.5,0.17,0.30,X,-1,nan
P202.9347+10.5574,202.93464661,10.55731392,15.258,15.559,0.020,-3.02,-2.67,0.22,6215,133,4.5,0.6,-0.38,0.64,X,-1,nan
P202.9541+07.1325,202.95408630,7.13255548,15.623,15.875,0.020,-2.99,-2.78,0.20,6446,105,5.0,0.5,0.24,0.70,X,-1,nan
P203.2832+13.6326,203.28315735,13.63263893,14.848,15.765,0.020,-3.01,-2.79,0.20,5142,102,1.0,0.5,0.99,0.30,X,1,nan
P203.2988+45.4615,203.29881287,45.46154404,14.826,15.287,0.020,-2.83,-2.70,0.20,5772,100,5.0,0.5,0.26,0.40,X,-1,nan
P203.3745+14.0479,203.37454224,14.04790592,16.297,16.851,0.021,-2.94,-2.44,0.21,5877,109,4.9,0.5,0.05,0.52,X,-1,nan
P203.9324+06.1919,203.93237305,6.19189739,15.036,15.346,0.020,-2.99,-1.72,0.21,6755,117,4.4,0.5,-0.55,0.70,X,-1,nan
P204.0062+10.6292,204.00624084,10.62906361,15.725,16.015,0.020,-2.85,-2.75,0.20,6420,104,4.6,0.5,1.16,0.42,X,-1,nan
P204.3330+15.3313,204.33302307,15.33130550,16.211,16.804,0.021,-3.88,-1.86,0.20,5231,104,1.0,0.5,1.19,0.41,X,-1,nan
P204.5467+12.3379,204.54669189,12.33793640,15.684,16.191,0.020,-2.94,-2.68,0.21,5640,105,4.4,0.5,0.24,0.51,X,-1,LAMOST
P204.6435+15.0092,204.64346313,15.00917244,15.012,15.592,0.020,-2.30,-2.15,0.23,5603,196,2.3,0.8,0.01,0.73,T,-1,LAMOST
P204.7256+14.3256,204.72557068,14.32557774,16.094,23.340,0.021,-3.19,-3.17,0.22,5720,113,4.8,0.5,0.26,0.57,X,-1,nan
P204.8919+12.5146,204.89178467,12.51459408,15.776,16.167,0.020,-2.91,-2.60,0.20,6096,101,5.0,0.5,0.77,0.40,X,-1,nan
P204.9008+10.5513,204.90083313,10.55123329,14.875,15.119,0.020,-3.23,-3.02,0.21,6530,109,4.9,0.5,0.08,0.68,X,-1,SEGUE
P204.9475+15.8667,204.94743347,15.86667824,15.378,15.726,0.020,-2.74,-2.37,0.20,6328,109,4.8,0.5,0.46,0.54,X,-1,nan
P205.3899+44.5752,205.38992310,44.57517624,16.385,16.767,0.020,-2.95,-2.53,0.20,6233,111,4.4,0.5,0.00,0.60,X,-1,nan
P205.4032+06.7534,205.40321350,6.75342512,15.022,15.339,0.020,-3.02,-3.33,0.61,6117,327,3.9,1.2,0.29,0.96,X,-1,nan
P205.4614+10.6435,205.46138000,10.64347458,15.228,15.964,0.020,-2.61,-2.07,0.20,5528,101,3.4,0.5,0.30,0.30,X,1,nan
P205.5672+41.3558,205.56723022,41.35578156,15.175,16.034,0.020,-3.02,-2.65,0.20,4827,101,1.0,0.5,0.10,0.40,X,1,nan
P206.1049+46.7581,206.10490417,46.75811005,16.163,16.594,0.021,-2.67,-2.85,0.21,6059,110,4.9,0.5,0.59,0.63,X,-1,nan
P206.2203+46.5502,206.22030640,46.55015945,15.442,15.887,0.020,-2.41,-2.41,0.21,6278,112,4.9,0.5,0.59,0.47,X,-1,nan
P206.3985+09.6724,206.39843750,9.67228031,15.952,16.249,0.020,-3.14,-2.64,0.21,6230,111,4.9,0.5,-0.36,0.64,X,-1,SDSS
P206.4269+11.4939,206.42694092,11.49386120,15.982,16.710,0.021,-3.03,-2.87,0.20,5197,103,1.1,0.5,1.01,0.41,X,1,nan
P206.7184+07.2229,206.71846008,7.22283077,15.655,16.364,0.021,-2.87,-2.45,0.20,5470,106,3.3,0.5,0.39,0.40,X,-1,nan
P207.2759+06.5947,207.27577209,6.59448624,15.909,16.366,0.021,-3.02,-2.73,0.21,6140,103,4.9,0.5,0.90,0.41,X,-1,nan
P207.3454+14.1268,207.34547424,14.12686920,16.450,16.773,0.021,-3.21,-4.01,0.68,6058,297,4.1,1.0,0.84,1.11,X,-1,SDSS
P207.5709+00.6755,207.57080078,0.67552221,15.454,15.730,0.020,-3.00,-3.12,0.20,6402,105,4.9,0.5,0.43,0.82,X,-1,nan
P207.7621+47.4710,207.76206970,47.47104645,15.158,15.465,0.020,-3.20,-2.70,0.20,6465,108,4.7,0.5,0.57,0.73,X,-1,nan
P207.8509+06.4898,207.85095215,6.48979187,15.312,15.677,0.020,-2.51,-2.25,0.20,6338,104,4.3,0.5,0.83,0.31,X,-1,nan
P207.9290+03.2767,207.92897034,3.27669454,15.496,15.795,0.020,-2.95,-2.96,0.21,6490,110,4.9,0.5,-0.09,0.76,X,-1,nan
P207.9734+15.8249,207.97344971,15.82485867,16.281,17.110,0.021,-3.12,-3.26,0.21,5570,110,4.9,0.5,-0.33,0.63,X,-1,nan
P208.1381+13.9418,208.13810730,13.94179153,15.518,16.417,0.020,-3.17,-2.73,0.21,5571,116,4.0,0.5,0.31,0.62,X,-1,nan
P208.4511+08.8416,208.45109558,8.84161091,15.143,15.723,0.020,-2.94,-2.65,0.21,5370,104,1.8,0.6,0.24,0.44,X,-1,nan
P208.5562+01.5637,208.55625916,1.56372774,15.377,16.236,0.020,-2.72,-2.50,0.20,5231,100,1.3,0.5,0.94,0.41,X,1,nan
P208.6746+49.3826,208.67460632,49.38261795,15.897,16.784,0.020,-2.67,-2.49,0.21,5378,114,2.9,0.6,0.64,0.41,X,-1,nan
P208.8472+46.3931,208.84722900,46.39313507,16.369,16.792,0.020,-2.44,-2.22,0.20,6484,113,4.5,0.5,-0.28,0.68,X,-1,nan
P208.9202+07.0046,208.92025757,7.00447512,15.485,15.842,0.020,-2.53,-1.99,0.20,6348,101,5.0,0.5,0.37,0.42,X,-1,LAMOST;SDSS
P209.0986+09.8244,209.09855652,9.82446957,15.498,15.789,0.020,-2.92,-3.14,0.21,6395,107,4.9,0.5,0.72,0.75,X,-1,nan
P209.4206+14.2165,209.42059326,14.21648884,15.895,16.325,0.020,-3.18,-2.50,0.21,5895,109,2.6,0.6,-0.14,0.62,X,-1,nan
P209.4217+11.3424,209.42166138,11.34238338,15.881,16.186,0.020,-3.41,-3.37,0.21,6280,109,5.0,0.5,0.35,0.92,X,-1,nan
P209.6981+02.2017,209.69802856,2.20167780,15.216,15.817,0.020,-2.80,-2.60,0.20,5756,103,4.3,0.5,0.42,0.31,X,-1,nan
P209.7997+14.2924,209.79974365,14.29235554,15.180,16.135,0.020,-2.77,-2.50,0.20,5263,104,2.7,0.5,0.38,0.40,X,1,nan
P209.9338+48.9790,209.93376160,48.97898865,14.679,15.106,0.020,-2.99,-2.68,0.20,6206,107,4.5,0.5,1.03,0.50,X,-1,nan
P210.3859+07.8878,210.38586426,7.88777781,15.108,15.461,0.020,-2.78,-2.88,0.21,5991,106,5.0,0.5,-0.62,0.48,X,-1,LAMOST
P210.7391+07.0051,210.73913574,7.00508595,15.318,15.683,0.020,-3.07,-2.79,0.21,5625,106,5.0,0.5,-0.68,0.52,X,-1,nan
P210.9439+42.8268,210.94389343,42.82675171,16.035,16.892,0.021,-3.04,-2.85,0.20,5155,101,1.0,0.5,1.02,0.50,X,1,nan
P211.2765+10.3278,211.27648926,10.32785320,14.708,15.223,0.020,-2.35,-1.64,0.20,6078,103,4.4,0.5,-0.25,0.30,X,-1,LAMOST
P211.7709+07.4970,211.77082825,7.49699450,15.509,15.823,0.020,-2.95,-0.99,0.20,4448,100,5.0,0.5,-1.04,0.50,X,-1,nan
P212.0176+10.0248,212.01756287,10.02482510,15.984,16.569,0.021,-3.02,-2.78,0.20,5436,102,1.1,0.5,1.16,0.41,X,-1,nan
P212.4285+06.1635,212.42840576,6.16338062,15.294,15.587,0.020,-3.51,-3.06,0.23,6140,143,4.7,0.6,-0.19,0.71,X,-1,nan
P212.6012+40.9924,212.60124207,40.99236298,15.413,16.261,0.020,-2.69,-2.54,0.21,5279,106,1.3,0.5,0.83,0.52,X,1,nan
P212.6371+13.4345,212.63706970,13.43447781,16.054,16.763,0.021,-2.88,-2.78,0.20,5280,103,1.2,0.5,0.97,0.42,X,1,nan
P212.7628+14.3204,212.76278687,14.32039738,15.418,16.409,0.020,-2.67,-2.37,0.20,5290,101,1.9,0.5,0.71,0.41,X,1,nan
P212.8228+02.2780,212.82283020,2.27801943,16.239,16.491,0.021,-3.04,-3.14,0.22,6187,102,5.0,0.5,1.08,0.47,X,-1,nan
P213.0390+08.4464,213.03904724,8.44629192,15.835,16.215,0.020,-2.92,-2.90,0.21,6253,106,4.9,0.5,1.04,0.41,X,-1,nan
P213.1794+12.8167,213.17944336,12.81669998,16.238,17.081,0.021,-3.08,-3.36,0.21,4801,105,1.2,0.5,0.33,0.53,X,-1,nan
P213.3166+12.6815,213.31655884,12.68153286,16.076,16.984,0.021,-3.95,-1.81,0.20,4622,100,5.0,0.5,-0.29,0.50,X,-1,nan
P213.3578+02.5481,213.35783386,2.54811382,15.221,16.249,0.020,-2.69,-2.47,0.20,5172,104,1.3,0.5,0.45,0.42,X,1,nan
P213.6543+15.8695,213.65423584,15.86949730,15.246,16.185,0.020,-2.68,-2.69,0.21,5066,118,1.8,0.7,0.57,0.46,X,1,nan
P213.7385+41.6004,213.73849487,41.60042953,15.123,15.661,0.020,-2.49,-2.40,0.21,5881,103,1.4,0.5,0.46,0.63,X,1,nan
P214.0865+12.5355,214.08648682,12.53553009,15.656,16.389,0.020,-2.92,-2.75,0.20,5414,106,3.3,0.5,0.32,0.30,X,-1,nan
P214.3993+13.2918,214.39907837,13.29179192,15.499,15.893,0.020,-2.81,-2.41,0.20,6270,101,5.0,0.5,0.43,0.45,X,-1,nan
P214.6003+14.9129,214.60031128,14.91296387,15.201,16.033,0.020,-2.89,-2.43,0.21,5142,108,1.4,0.5,0.48,0.51,X,1,nan
P214.9936+11.5186,214.99356079,11.51854992,15.864,16.671,0.021,-3.53,-2.13,0.20,5047,104,1.3,0.5,0.33,0.42,X,1,nan
