LAMOST,Sname,RAdeg,DEdeg,Teff_li,e_Teff_li,logg_li,e_logg_li,FeH_li,e_FeH_li,sng,rv,rv_err
J001521.50+103628.6,"spec-56919-EG001605N080655B01_sp11-143  ",3.839591,10.607934,4957.5,262.1,2.09,0.54,-2.22,0.17,23.6,18.11,8.03
J001523.41+552327.7,"spec-56982-HD000408N565515B01_sp07-084  ",3.847538,55.391037,5893.9,174.4,2.96,0.74,-2.28,0.14,29.2,-82.23,6.98
J001540.25+084305.4,"spec-56919-EG001605N080655B01_sp04-044  ",3.917723,8.718179,6333.8,133.9,3.9,0.49,-2.64,0.2,40.2,11.07,4.63
J001548.02+363517.4,"spec-56642-VB005N38V1_sp02-250          ",3.950071,36.588177,5834.2,260.9,4.22,0.34,-2.1,0.17,19.8,22.52,4.87
J001548.81+084903.9,"spec-56919-EG001605N080655B01_sp15-198  ",3.953394,8.81776,5913.8,245.1,3.23,0.68,-2.14,0.12,26.2,-96.67,5.35
J001549.21+011615.3,"spec-56978-EG001639N015102M01_sp04-140  ",3.955046,1.270909,6209.9,210.0,3.35,0.6,-2.03,0.12,37.8,-61.07,5.31
J001549.35+032328.5,"spec-56618-EG000954N044957B01_sp07-073  ",3.95564,3.391248,5445.1,258.2,4.12,0.39,-2.25,0.12,43.6,-177.94,5.6
J001550.82+270157.6,"spec-56576-EG002045N263049V01_sp03-116  ",3.96174,27.032675,6141.5,195.1,3.56,0.54,-2.04,0.17,77.9,-279.38,3.9
J001551.41+102741.8,"spec-56919-EG001605N080655B01_sp11-139  ",3.964207,10.461607,6175.0,155.2,2.67,0.74,-2.8,0.24,38.6,-256.84,5.04
J001606.59+291056.8,"spec-56648-VB003N26V2_sp11-030          ",4.027444,29.182438,6170.8,188.5,3.59,0.48,-2.19,0.17,75.7,-148.29,3.92
J001609.69+440619.6,"spec-57012-M31004N46B1_sp01-050         ",4.040376,44.105446,6141.5,195.1,3.45,0.62,-2.04,0.17,83.0,-5.84,4.16
J001625.36+360543.9,"spec-56952-M31005N35M1_sp03-123         ",4.10567,36.095524,6024.1,202.1,3.38,0.53,-2.07,0.12,16.9,-273.44,7.45
J001632.91+061101.1,"spec-56919-EG001605N080655B01_sp01-093  ",4.137125,6.183632,5898.7,250.9,3.11,0.67,-2.2,0.17,118.3,-241.48,3.94
J001647.44+070951.9,"spec-56919-EG001605N080655B01_sp05-110  ",4.197687,7.164426,6000.0,203.1,2.84,0.76,-2.04,0.17,32.9,-200.94,5.14
J001649.72+241202.9,"spec-56576-EG002045N263049B01_sp02-124  ",4.207158,24.200798,6000.0,203.1,3.21,0.61,-2.12,0.14,50.4,-36.4,4.93
J001652.80+543247.7,"spec-56592-HD003103N554209B01_sp10-190  ",4.219999,54.54659,6361.2,136.5,3.62,0.56,-2.86,0.24,44.4,-228.0,5.66
J001653.54+364232.6,"spec-56262-VB002N36V2_sp13-078          ",4.223074,36.70906,5204.8,244.5,0.91,0.43,-2.65,0.17,43.6,-92.91,3.88
J001704.24+345519.9,"spec-56262-VB002N36V2_sp07-077          ",4.267682,34.922188,5909.3,229.3,3.28,0.66,-2.34,0.17,20.6,-196.18,6.9
J001714.85+361538.8,"spec-56984-M31005N35B1_sp15-061         ",4.311893,36.260777,6250.0,150.0,3.12,0.71,-2.63,0.21,24.7,-311.68,7.69
J001716.36+245147.4,"spec-56648-VB003N26V2_sp07-171          ",4.318161,24.863173,5572.0,239.2,3.41,0.54,-2.02,0.16,115.3,-106.44,2.58
J001725.78+463534.5,"spec-57012-M31004N46B1_sp04-049         ",4.357412,46.59291,6155.9,192.5,3.44,0.57,-2.24,0.17,51.2,-93.31,4.4
J001726.21+020931.6,"spec-56978-EG001639N015102M01_sp04-062  ",4.359228,2.158783,5834.2,260.9,4.22,0.34,-2.08,0.17,22.3,-142.51,7.06
J001734.03+311910.1,"spec-56257-VB002N31V3_sp06-055          ",4.391775,31.319464,6250.0,150.0,3.65,0.58,-2.61,0.21,23.7,-3.63,4.88
J001800.29+372535.9,"spec-56984-M31005N35B1_sp16-137         ",4.501191,37.426636,6750.0,150.0,3.88,0.45,-2.81,0.23,37.1,-51.67,4.87
J001801.81+412734.3,"spec-56266-M31007N41B1_sp10-143         ",4.507549,41.459526,5500.0,170.5,3.63,0.44,-2.34,0.17,24.8,-423.21,8.53
J001807.14+283228.8,"spec-56576-EG002045N263049B01_sp11-013  ",4.529742,28.541346,6000.0,150.0,3.29,0.62,-2.38,0.17,65.2,-205.03,4.13
J001807.16+283229.2,"spec-56648-VB003N26V1_sp12-086          ",4.529845,28.541449,5975.9,202.1,3.03,0.77,-2.3,0.12,41.7,-197.79,4.87
J001811.36+054122.3,"spec-56919-EG001605N080655B01_sp01-187  ",4.547329,5.689524,5419.9,341.4,4.37,0.31,-2.12,0.25,20.9,-83.3,6.93
J001834.36+350557.9,"spec-56984-M31005N35B1_sp03-047         ",4.643182,35.099415,6000.0,192.1,3.13,0.55,-2.46,0.22,27.9,-182.93,8.21
J001921.07+021444.6,"spec-56621-EG002616N034932B01_sp02-086  ",4.837793,2.245736,6184.5,183.3,3.28,0.56,-2.21,0.17,60.5,218.94,3.83
J001924.68+042226.1,"spec-56618-EG000954N044957B01_sp06-168  ",4.852829,4.373924,6250.0,150.0,2.99,0.65,-2.57,0.19,122.2,-200.59,4.11
J001927.82+094115.2,"spec-56919-EG001605N080655B01_sp12-080  ",4.865899,9.687567,5012.2,212.3,1.93,0.56,-2.26,0.17,63.7,45.29,3.71
J001931.35+094701.3,"spec-56919-EG001605N080655B01_sp12-128  ",4.880605,9.783697,6155.9,192.5,3.66,0.47,-2.19,0.17,29.0,3.13,7.52
J001945.35-000239.8,"spec-56978-EG001639N015102M01_sp07-152  ",4.938978,-0.044394,5946.3,217.1,3.48,0.58,-2.09,0.17,64.2,-12.62,4.07
J001947.72+014318.9,"spec-56978-EG001639N015102M01_sp08-027  ",4.948838,1.721909,6000.0,192.1,2.89,0.64,-2.61,0.25,23.6,-224.65,7.25
J001949.29+015630.6,"spec-56621-EG002616N034932B01_sp02-088  ",4.955379,1.941828,6184.5,183.3,3.49,0.5,-2.69,0.26,21.4,-13.29,9.05
J002015.26+342558.2,"spec-56984-M31005N35B1_sp05-046         ",5.063603,34.43283,6053.0,197.5,3.27,0.55,-2.08,0.12,24.0,-169.83,7.98
J002029.76+284217.3,"spec-56576-EG002045N263049B01_sp11-186  ",5.124006,28.704798,5875.0,259.0,3.71,0.53,-2.05,0.12,16.5,-328.26,11.31
J002040.48+343938.9,"spec-56255-VB007N33V2_sp14-139          ",5.168646,34.660812,5987.8,212.3,3.18,0.65,-2.21,0.12,16.3,-108.18,5.42
J002043.24+050754.6,"spec-56621-EG002616N034932B01_sp16-192  ",5.180177,5.131839,5201.0,231.0,2.92,0.49,-2.23,0.14,58.1,-105.23,3.68
J002044.20+071028.1,"spec-56919-EG001605N080655B01_sp06-229  ",5.184153,7.17447,5730.0,233.8,2.84,0.69,-2.45,0.19,36.2,-203.52,5.11
J002119.65+392932.3,"spec-56642-VB005N38V2_sp15-049          ",5.331874,39.492313,6115.0,174.6,3.76,0.52,-2.35,0.18,21.2,-103.81,6.03
J002134.27+072425.4,"spec-56919-EG001605N080655B01_sp06-232  ",5.39281,7.407052,5730.0,233.8,2.69,0.63,-2.3,0.12,139.6,-135.04,3.97
J002135.86+022100.1,"spec-56978-EG001639N015102M01_sp09-146  ",5.3994,2.350018,6290.1,210.0,3.79,0.47,-2.32,0.14,66.3,101.79,3.31
J002146.62+061420.9,"spec-56919-EG001605N080655B01_sp07-218  ",5.444236,6.239149,5898.7,250.9,4.09,0.38,-2.12,0.17,42.2,-118.69,4.45
J002154.74+340003.4,"spec-56984-M31005N35B1_sp01-157         ",5.478081,34.000946,4918.6,326.7,4.24,0.34,-2.12,0.29,29.8,-375.97,6.53
J002157.69+420620.0,"spec-56266-M31007N41B2_sp14-155         ",5.49037,42.105553,6198.1,182.2,3.28,0.56,-2.56,0.24,23.6,-187.21,7.14
