LAMOST,Sname,RAdeg,DEdeg,Teff_li,e_Teff_li,logg_li,e_logg_li,FeH_li,e_FeH_li,sng,rv,rv_err
J120023.55+141710.5,"spec-56775-VB178N14V1_sp09-241          ",180.09811,14.286256,4946.9,283.0,2.31,0.56,-2.15,0.21,35.1,55.84,6.0
J120023.55+141710.6,"spec-56358-HD120710N125907M01_sp16-077  ",180.09813,14.286273,4982.5,263.4,2.28,0.57,-2.15,0.21,60.7,56.74,4.61
J120025.58-032801.1,"spec-56741-HD115451S012705V_sp07-223    ",180.10657,-3.466963,4811.6,218.5,1.55,0.55,-2.29,0.25,39.9,170.5,4.76
J120057.45+483859.6,"spec-56679-HD115505N462836B01_sp12-234  ",180.23938,48.6499,6172.6,170.3,3.44,0.57,-2.21,0.17,36.9,-134.9,2.98
J120118.40+554051.5,"spec-55948-F5594805_sp02-182            ",180.32668,55.680977,6250.0,192.1,3.38,0.52,-2.13,0.17,30.1,-39.29,7.16
J120119.65+295332.2,"spec-55961-B5596106_sp02-195            ",180.3319,29.892275,6422.6,170.3,3.64,0.51,-2.21,0.17,37.6,74.42,5.54
J120120.52+000236.2,"spec-56656-HD120800N003716M01_sp10-210  ",180.3355,0.043399,6197.0,197.5,3.26,0.57,-2.06,0.17,26.6,128.05,7.19
J120122.18+281634.5,"spec-56423-HD121027N290405M01_sp10-083  ",180.34242,28.276243,5024.1,202.1,2.54,0.51,-2.46,0.21,19.8,30.09,8.61
J120150.39+134046.0,"spec-56775-VB178N14V1_sp06-176          ",180.45998,13.679445,6088.7,157.3,2.44,0.65,-2.62,0.2,20.5,-37.45,10.88
J120202.55+011456.7,"spec-56654-HD120800N003716B01_sp14-169  ",180.51064,1.249088,5148.7,250.9,2.66,0.49,-2.35,0.17,41.5,-86.43,4.21
J120228.07-000206.2,"spec-56654-HD120800N003716B01_sp10-151  ",180.61696,-0.03505,6166.2,133.9,3.46,0.53,-2.86,0.28,37.5,192.33,5.67
J120228.54+563034.2,"spec-56316-HD121650N561653B02_sp14-183  ",180.61893,56.509487,6575.0,155.2,3.88,0.49,-2.39,0.19,45.1,74.59,3.42
J120240.25+251518.5,"spec-56317-HD120242N242647M01_sp15-119  ",180.66771,25.255129,6225.9,202.1,2.84,0.76,-2.15,0.14,20.1,35.52,6.68
J120248.91+351044.0,"spec-56418-HD120440N353402M01_sp04-128  ",180.7038,35.178875,5918.6,208.9,3.96,0.43,-2.15,0.14,17.6,58.81,7.18
J120302.12+142656.6,"spec-56358-HD120710N125907M01_sp16-163  ",180.75883,14.449045,4625.0,306.0,2.36,0.51,-2.68,0.19,48.6,-179.51,4.65
J120310.60-000542.3,"spec-56656-HD120800N003716M01_sp05-186  ",180.79416,-0.095097,6063.9,186.2,2.28,0.71,-2.57,0.2,25.1,-150.12,7.95
J120322.82+004810.7,"spec-55973-F5597306_sp16-152            ",180.8451,0.802961,5987.8,212.3,3.15,0.67,-2.12,0.14,35.2,-34.55,6.75
J120326.96+313127.9,"spec-56746-HD121251N314746M01_sp10-007  ",180.86235,31.524412,6095.7,211.7,3.31,0.65,-2.09,0.17,38.2,-103.02,5.71
J120342.55+310103.3,"spec-55961-B5596106_sp03-182            ",180.92728,31.017591,4991.9,242.6,2.46,0.51,-2.13,0.27,17.1,5.6,9.07
J120347.37+230306.4,"spec-57003-HD120242N242647V01_sp05-023  ",180.94739,23.051771,5485.2,274.5,2.39,0.64,-2.32,0.12,23.0,34.09,3.96
J120350.69+501953.5,"spec-56343-HD120534N515552M01_sp01-075  ",180.96123,50.331516,6398.1,154.5,3.64,0.51,-2.37,0.18,26.6,-58.94,6.4
J120354.33+275937.8,"spec-57094-HD121027N290405V01_sp10-168  ",180.97636,27.993837,5322.0,239.2,3.11,0.57,-2.13,0.12,125.2,-38.66,5.82
J120354.74+283038.0,"spec-55917-B5591705_sp16-081            ",180.97809,28.51056,5639.2,294.7,2.47,0.64,-2.1,0.17,17.9,-230.65,10.26
J120400.88+303225.0,"spec-55939-B5593906_sp03-049            ",181.00365,30.540274,5401.6,229.9,2.68,0.57,-2.0,0.22,92.5,-22.52,2.73
J120406.96+521751.0,"spec-57060-HD120534N515552V_sp04-040    ",181.02898,52.297504,5197.0,197.5,2.27,0.63,-2.63,0.14,176.5,-162.29,2.8
J120412.85+320811.2,"spec-55939-B5593906_sp15-096            ",181.05354,32.13644,6197.0,197.5,3.51,0.51,-2.28,0.17,42.0,-104.82,3.66
J120419.49+094418.3,"spec-56329-HD121325N101544M01_sp10-120  ",181.08122,9.738406,4663.8,245.1,2.15,0.55,-2.15,0.28,30.9,193.36,7.28
J120430.47+010911.8,"spec-56656-HD120800N003716M01_sp03-210  ",181.12695,1.15329,6000.0,221.1,4.11,0.42,-2.06,0.14,61.2,57.95,4.47
J120440.33+003649.7,"spec-56654-HD120800N003716B01_sp03-179  ",181.16803,0.613812,5485.2,274.5,2.86,0.58,-2.07,0.13,98.5,6.49,3.59
J120449.63+573629.2,"spec-55930-F5593003_sp16-077            ",181.2068,57.60812,6179.9,128.6,3.19,0.62,-2.72,0.26,32.0,73.52,6.55
J120451.74+125619.6,"spec-56358-HD120710N125907M01_sp04-162  ",181.21558,12.938781,6000.0,203.1,2.86,0.65,-2.3,0.14,19.6,127.86,9.36
J120459.91-012725.9,"spec-56654-HD120800N003716B01_sp01-232  ",181.24965,-1.457205,6449.4,183.4,3.5,0.54,-2.59,0.2,62.2,167.76,4.11
J120511.87+023113.1,"spec-56782-VB179N03V1_sp06-206          ",181.29947,2.520315,6040.1,210.0,3.67,0.47,-2.05,0.12,20.1,222.58,10.74
J120521.22+015455.1,"spec-56656-HD120800N003716M01_sp15-165  ",181.33842,1.915304,6209.9,210.0,3.21,0.61,-2.49,0.15,12.7,-12.4,7.45
J120523.63+115521.0,"spec-56358-HD120710N125907M01_sp05-032  ",181.34843,11.922509,5836.2,245.1,3.84,0.49,-2.42,0.16,38.5,65.08,4.37
J120533.69+312335.8,"spec-56746-HD121251N314746M01_sp10-204  ",181.39037,31.39327,6012.2,212.3,2.74,0.72,-2.15,0.12,19.5,-52.66,7.63
J120535.84+174627.9,"spec-57136-HD121513N165426B01_sp14-114  ",181.39934,17.77443,5460.5,190.5,2.77,0.63,-2.08,0.14,22.3,52.74,9.27
J120536.64-003312.9,"spec-56656-HD120800N003716M01_sp05-086  ",181.40265,-0.553583,5578.7,264.4,3.6,0.46,-2.2,0.14,15.0,61.78,7.65
J120543.98+170024.8,"spec-57136-HD121513N165426B01_sp10-130  ",181.43326,17.00688,4679.0,273.2,2.27,0.46,-2.54,0.21,75.6,140.2,2.87
J120609.45+295133.6,"spec-56746-HD121251N314746M01_sp02-209  ",181.53938,29.85933,6356.1,174.4,3.05,0.62,-2.06,0.12,16.6,-87.81,10.24
J120615.18+495346.5,"spec-57060-HD120534N515552V_sp01-091    ",181.56325,49.896244,4704.8,244.5,2.0,0.61,-2.2,0.33,32.7,80.58,5.8
J120624.33+005624.2,"spec-56654-HD120800N003716B01_sp04-024  ",181.6014,0.940048,5686.1,186.2,3.17,0.53,-2.52,0.18,41.8,38.28,4.64
J120625.86+233419.2,"spec-57003-HD120242N242647V01_sp08-014  ",181.60776,23.572006,5762.2,212.3,2.39,0.64,-2.27,0.12,120.2,307.7,4.58
J120627.72+562404.3,"spec-55930-F5593003_sp03-070            ",181.6155,56.40118,6012.2,212.3,2.92,0.62,-2.29,0.13,15.4,-7.07,8.54
J120628.36+023734.8,"spec-56654-HD120800N003716B01_sp11-020  ",181.61818,2.626329,6274.1,202.1,3.37,0.57,-2.1,0.12,28.8,60.0,7.62
J120630.87+345027.2,"spec-57005-HD120440N353402V01_sp08-153  ",181.62863,34.840897,5444.3,289.9,2.65,0.59,-2.07,0.15,125.4,45.15,2.73
J120633.60+292131.3,"spec-57094-HD121027N290405V01_sp03-220  ",181.64,29.358685,5737.8,212.3,3.24,0.6,-2.13,0.12,102.6,-2.17,4.52
J120635.93+315714.9,"spec-56746-HD121251N314746M01_sp03-053  ",181.64969,31.95414,6250.0,150.0,3.16,0.63,-2.23,0.17,33.8,-41.6,6.51
J120640.56+115504.3,"spec-56358-HD120710N125907M01_sp05-049  ",181.66902,11.917871,5205.2,302.6,3.22,0.44,-2.83,0.18,61.9,48.15,4.08
J120648.41+120515.4,"spec-57009-HD120710N125907V01_sp05-168  ",181.70169,12.08762,5004.6,233.9,2.56,0.51,-2.26,0.17,88.0,-249.75,3.01
J120656.24+395014.3,"spec-56359-HD121906N401846F01_sp10-108  ",181.73433,39.837307,5887.1,275.3,4.16,0.39,-2.07,0.17,37.1,-36.36,7.34
J120658.22+160731.0,"spec-57136-HD121513N165426B01_sp10-198  ",181.74258,16.125269,5946.3,217.1,3.76,0.5,-2.16,0.17,22.8,-43.07,7.84
J120706.51+465230.5,"spec-56679-HD115505N462836B01_sp13-041  ",181.77711,46.87513,5157.1,352.1,4.39,0.28,-2.21,0.19,19.6,45.98,4.36
J120707.38+085044.3,"spec-56329-HD121325N101544M01_sp02-032  ",181.78073,8.845641,6344.1,192.5,3.41,0.54,-2.03,0.14,17.0,17.46,13.84
J120711.07+152409.1,"spec-56649-HD121513N165426V_sp02-091    ",181.79611,15.402541,6388.8,136.5,3.63,0.5,-3.38,0.26,68.5,251.76,2.99
J120714.25-014828.8,"spec-55973-F5597306_sp05-145            ",181.80939,-1.807995,6197.0,197.5,3.51,0.51,-2.04,0.17,26.7,120.35,5.16
J120717.82+021943.6,"spec-56654-HD120800N003716B01_sp11-090  ",181.82425,2.32879,6024.1,202.1,3.38,0.53,-2.02,0.12,18.4,22.44,9.26
J120727.57+312228.3,"spec-57094-HD121027N290405V01_sp11-151  ",181.86487,31.37453,5225.5,220.8,2.05,0.56,-2.42,0.17,67.1,-143.14,6.93
J120727.58+312228.5,"spec-55961-B5596106_sp04-027            ",181.8649,31.37457,5217.2,241.6,2.07,0.56,-2.46,0.17,91.0,-142.97,3.48
J120735.62+021828.4,"spec-56654-HD120800N003716B01_sp11-078  ",181.8984,2.307902,6095.7,211.7,3.1,0.68,-2.19,0.17,44.4,84.45,4.64
J120740.68+244855.0,"spec-56317-HD120242N242647M01_sp09-144  ",181.91948,24.81529,5959.9,210.0,3.15,0.67,-2.2,0.17,48.6,10.76,4.57
J120750.19-010058.1,"spec-56654-HD120800N003716B01_sp01-136  ",181.9591,-1.016144,6379.4,175.7,3.54,0.51,-2.13,0.17,25.9,31.33,6.57
J120800.15+394731.9,"spec-56359-HD121906N401846F01_sp10-115  ",182.00064,39.792194,6408.8,171.5,3.84,0.44,-2.4,0.2,34.7,-248.92,6.14
J120830.60-010051.1,"spec-56656-HD120800N003716M01_sp01-140  ",182.12749,-1.0142,6184.5,183.3,3.37,0.57,-2.27,0.17,21.8,107.96,9.45
J120833.11+335439.4,"spec-56746-HD121251N314746M01_sp16-230  ",182.13794,33.910954,6172.6,170.3,3.22,0.62,-2.23,0.14,17.1,-2.06,10.06
J120835.86-002151.1,"spec-55973-F5597306_sp04-054            ",182.1494,-0.364183,5918.6,208.9,3.4,0.56,-2.32,0.17,19.6,92.02,7.28
J120838.20+162817.8,"spec-57136-HD121513N165426B01_sp10-205  ",182.15918,16.471601,6198.1,182.2,3.43,0.51,-2.27,0.17,17.8,42.28,9.66
J120855.46+323931.3,"spec-55939-B5593906_sp11-235            ",182.23106,32.658684,5673.7,294.3,3.32,0.52,-2.02,0.14,28.1,58.19,4.09
J120856.01+104222.0,"spec-56358-HD120710N125907M01_sp01-189  ",182.2334,10.706122,6287.3,135.1,3.19,0.62,-2.59,0.21,16.4,-297.18,9.44
J120905.96+522001.1,"spec-56343-HD120534N515552M01_sp09-208  ",182.27486,52.333645,5987.8,212.3,3.05,0.57,-2.27,0.12,19.2,-5.54,5.57
J120911.34+130723.8,"spec-57009-HD120710N125907V01_sp04-067  ",182.29724,13.123283,6141.5,195.1,3.45,0.62,-2.09,0.17,167.8,91.33,2.46
J120918.46+163606.1,"spec-57136-HD121513N165426B01_sp03-249  ",182.32693,16.601688,5572.0,239.2,3.41,0.54,-2.07,0.13,47.9,106.0,5.85
J120932.84+322903.8,"spec-56746-HD121251N314746M01_sp15-240  ",182.38681,32.484398,5690.5,251.7,2.44,0.7,-2.1,0.14,28.6,177.86,7.75
J120933.12+294402.5,"spec-56423-HD121027N290405M01_sp15-194  ",182.38802,29.734015,6262.2,212.3,3.65,0.49,-2.02,0.12,33.3,44.96,5.94
J120933.13+294402.6,"spec-55939-B5593906_sp05-025            ",182.38806,29.734043,6040.1,210.0,3.58,0.49,-2.12,0.12,30.4,56.41,4.23
J120936.32+321834.1,"spec-56746-HD121251N314746M01_sp03-142  ",182.40134,32.309483,5900.5,192.1,4.18,0.39,-2.43,0.2,15.2,42.15,13.21
J120937.42+145214.5,"spec-57136-HD121513N165426B01_sp02-201  ",182.40593,14.870706,6158.8,171.5,2.39,0.65,-2.65,0.23,13.6,148.59,3.96
J120938.41+132958.3,"spec-57009-HD120710N125907V01_sp09-161  ",182.41003,13.499535,5586.2,245.1,3.58,0.49,-2.0,0.24,21.7,-81.46,6.6
J120947.81+005842.9,"spec-56654-HD120800N003716B01_sp04-223  ",182.44919,0.978574,6250.0,150.0,3.14,0.55,-2.5,0.2,29.0,65.2,6.13
J120952.12+384315.5,"spec-56359-HD121906N401846F01_sp02-093  ",182.4672,38.720985,5774.1,202.1,3.24,0.6,-2.21,0.12,15.6,-36.1,8.4
J120956.75+283024.9,"spec-56423-HD121027N290405M01_sp04-143  ",182.48647,28.506918,5000.0,203.1,3.03,0.49,-2.14,0.19,24.4,33.54,5.81
J120957.62+140221.8,"spec-56358-HD120710N125907M01_sp09-124  ",182.49007,14.039376,6000.0,203.1,3.51,0.54,-2.15,0.12,20.1,241.72,7.37
J121005.17+005649.2,"spec-56654-HD120800N003716B01_sp04-059  ",182.52155,0.94701,5898.7,250.9,4.02,0.43,-2.06,0.14,22.0,-47.5,7.31
J121008.73+005635.2,"spec-55973-F5597306_sp12-129            ",182.53636,0.943125,6132.3,215.5,3.2,0.67,-2.36,0.18,23.6,218.4,6.29
J121012.95+160851.0,"spec-57136-HD121513N165426B01_sp05-199  ",182.55396,16.147488,6129.4,175.7,3.56,0.58,-2.07,0.17,32.9,200.14,6.29
J121017.83+182759.6,"spec-57136-HD121513N165426B01_sp16-186  ",182.5743,18.46655,5262.0,193.5,2.87,0.44,-2.5,0.17,43.9,-155.74,5.23
J121020.78+095338.3,"spec-56329-HD121325N101544M01_sp03-023  ",182.5866,9.893981,6287.3,135.1,3.35,0.6,-3.56,0.26,33.4,88.59,6.65
J121025.39+013824.4,"spec-56654-HD120800N003716B01_sp09-112  ",182.60577,1.640116,5918.6,208.9,3.64,0.5,-2.36,0.19,23.4,18.13,6.93
J121029.79+272721.9,"spec-56013-B5601303_sp10-177            ",182.62413,27.456089,6411.3,157.3,3.6,0.5,-2.66,0.24,33.6,118.1,6.37
J121030.02-000007.1,"spec-55973-F5597306_sp09-031            ",182.62508,-0.001972,6183.4,203.7,3.11,0.68,-2.06,0.14,43.0,41.3,4.55
J121039.12+015856.8,"spec-56654-HD120800N003716B01_sp09-091  ",182.663,1.982452,5946.3,217.1,3.67,0.53,-2.23,0.17,19.7,-32.29,7.69
J121039.12+321220.2,"spec-55961-B5596106_sp09-114            ",182.66301,32.2056,6100.7,169.9,3.84,0.49,-2.13,0.17,26.9,35.47,5.38
J121039.42+095022.8,"spec-56329-HD121325N101544M01_sp03-009  ",182.66425,9.839672,5807.7,232.8,4.19,0.34,-2.24,0.17,20.7,-33.93,8.48
J121041.62+492301.6,"spec-57062-HD122233N482110V01_sp14-008  ",182.67343,49.383762,5250.0,192.1,2.21,0.51,-2.82,0.21,49.9,-104.56,3.29
J121055.78+002354.3,"spec-56654-HD120800N003716V01_sp08-033  ",182.7324,0.398417,6172.6,170.3,3.84,0.44,-2.21,0.17,37.9,96.36,4.81
J121100.61+092320.3,"spec-56329-HD121325N101544M01_sp05-246  ",182.75255,9.388969,5284.5,282.3,3.42,0.5,-2.35,0.15,39.9,187.55,4.46
J121106.89+124443.0,"spec-56358-HD120710N125907M01_sp08-037  ",182.77869,12.745285,6382.5,155.1,3.71,0.5,-2.3,0.17,42.8,-31.25,4.72
J121114.75+290710.1,"spec-55961-B5596106_sp07-152            ",182.81148,29.119465,6158.8,171.5,3.73,0.51,-2.08,0.17,26.0,-87.38,6.73
J121118.77+313016.4,"spec-56746-HD121251N314746M01_sp04-198  ",182.8282,31.504553,6210.5,190.5,3.24,0.6,-2.07,0.17,22.1,-180.49,7.86
J121130.52+251108.8,"spec-56424-HD122210N244625M01_sp14-233  ",182.87717,25.18579,6000.0,203.1,3.24,0.6,-2.14,0.12,17.7,-31.1,8.93
J121148.32+172940.1,"spec-57136-HD121513N165426B01_sp03-210  ",182.95131,17.49448,5800.6,183.4,3.99,0.45,-2.34,0.17,36.5,-71.86,7.91
J121148.77+001339.0,"spec-56654-HD120800N003716B01_sp08-237  ",182.95322,0.227488,5673.7,294.3,3.15,0.67,-2.04,0.14,99.3,-4.28,3.06
J121203.40+185006.9,"spec-57136-HD121513N165426B01_sp16-143  ",183.01414,18.835249,5987.8,212.3,3.51,0.54,-2.36,0.17,20.5,-211.78,10.25
J121207.89+285945.9,"spec-56423-HD121027N290405M01_sp04-239  ",183.03287,28.996073,5301.9,182.2,1.6,0.6,-2.49,0.17,27.6,-161.49,7.07
J121207.90+285945.9,"spec-55961-B5596106_sp07-168            ",183.03293,28.996075,5301.9,182.2,1.35,0.57,-2.52,0.21,31.6,-152.94,4.64
J121228.72+305644.5,"spec-56746-HD121251N314746M01_sp05-168  ",183.11966,30.945684,6329.2,188.5,3.32,0.57,-2.13,0.12,18.2,91.6,7.39
J121232.05+174635.5,"spec-57136-HD121513N165426B01_sp15-245  ",183.13356,17.776514,6141.5,195.1,3.45,0.62,-2.14,0.17,71.2,11.62,3.89
J121235.53+314658.3,"spec-55978-B5597804_sp09-035            ",183.14806,31.782848,5519.1,215.8,4.12,0.39,-2.32,0.17,51.2,40.61,3.02
J121239.48+385639.0,"spec-56359-HD121906N401846M01_sp02-029  ",183.16452,38.94417,5651.6,229.9,3.26,0.56,-2.3,0.12,16.6,11.28,9.95
J121242.61+121553.8,"spec-56358-HD120710N125907M01_sp06-232  ",183.17755,12.264946,6000.0,184.9,3.24,0.6,-2.23,0.17,24.0,47.8,10.89
J121257.83+244517.9,"spec-56424-HD122210N244625M01_sp10-126  ",183.24095,24.754976,5730.0,233.8,3.03,0.6,-2.1,0.12,21.1,5.67,11.14
J121300.45+384340.0,"spec-56359-HD121906N401846B01_sp02-234  ",183.25188,38.727783,6106.2,194.6,3.55,0.55,-2.2,0.17,34.4,115.76,5.73
J121303.07+042403.2,"spec-56287-HD121955N054017M01_sp02-043  ",183.26279,4.400886,6250.0,150.0,3.29,0.62,-2.35,0.17,29.8,167.7,6.44
J121303.88+330412.8,"spec-56746-HD121251N314746M01_sp15-050  ",183.26619,33.07021,5405.9,192.5,2.85,0.6,-2.43,0.17,42.2,-140.76,4.42
J121312.30+250659.7,"spec-56424-HD122210N244625B01_sp14-182  ",183.30127,25.116589,5178.0,239.2,1.72,0.49,-2.94,0.17,47.5,-74.32,3.78
J121313.30+383400.8,"spec-56359-HD121906N401846F01_sp02-148  ",183.3054,38.566875,6032.8,241.6,3.99,0.45,-2.28,0.12,19.8,72.33,8.96
J121334.35+170715.4,"spec-57136-HD121513N165426B01_sp04-014  ",183.39313,17.120945,5936.1,186.2,3.85,0.56,-2.4,0.17,39.3,72.35,6.12
J121338.97+281122.1,"spec-56423-HD121027N290405M01_sp08-013  ",183.41238,28.189484,6225.9,202.1,3.44,0.54,-2.06,0.12,29.6,-39.12,5.69
J121338.99+281122.3,"spec-55940-B5594007_sp02-210            ",183.41248,28.18954,6197.0,197.5,3.44,0.57,-2.1,0.17,19.2,-30.95,6.07
J121404.76+004905.6,"spec-56654-HD120800N003716B01_sp09-132  ",183.51984,0.818218,6197.0,197.5,3.51,0.51,-2.55,0.24,18.3,136.85,8.11
J121408.82+545444.4,"spec-57018-HD121650N561653V01_sp05-077  ",183.53676,54.91232,5598.4,229.9,3.41,0.54,-2.06,0.2,48.7,-120.4,4.15
J121410.11+572438.6,"spec-55930-F5593003_sp15-017            ",183.54214,57.410725,6000.0,184.9,3.35,0.52,-2.25,0.17,33.2,-66.37,6.46
J121410.12+572438.4,"spec-56316-HD121650N561653M02_sp15-016  ",183.54218,57.41068,6211.9,260.4,3.57,0.51,-2.22,0.19,15.7,-50.96,6.37
J121412.95+190533.3,"spec-57136-HD121513N165426B01_sp11-128  ",183.55396,19.09258,6095.7,211.7,3.22,0.7,-2.09,0.17,27.5,31.34,10.07
J121414.09+095332.3,"spec-56329-HD121325N101544M01_sp04-093  ",183.55869,9.892305,5882.3,215.5,4.0,0.45,-2.24,0.17,20.9,140.56,7.96
J121414.30+104635.3,"spec-56329-HD121325N101544M01_sp04-220  ",183.55957,10.776485,5485.2,274.5,2.14,0.69,-2.5,0.17,16.1,-13.34,8.96
J121417.63+153639.3,"spec-57136-HD121513N165426B01_sp05-076  ",183.57347,15.610924,6141.5,195.1,3.45,0.62,-2.17,0.17,108.5,-126.52,3.46
J121418.98+315714.5,"spec-56746-HD121251N314746M01_sp04-055  ",183.57909,31.954025,5311.6,218.5,3.45,0.47,-2.21,0.17,39.7,89.74,5.24
J121427.78+005124.2,"spec-56654-HD120800N003716B01_sp13-225  ",183.61575,0.85671,6313.9,186.2,2.79,0.66,-2.54,0.21,80.8,280.36,3.05
J121427.81+185103.6,"spec-56649-HD121513N165426V_sp11-176    ",183.61586,18.851004,5237.8,212.3,3.06,0.53,-2.32,0.12,49.4,46.15,4.45
J121429.05-001332.7,"spec-56656-HD120800N003716M01_sp06-185  ",183.62106,-0.225752,5625.0,306.0,4.06,0.38,-2.6,0.19,16.1,56.86,12.12
J121431.96+172006.4,"spec-57136-HD121513N165426B01_sp04-040  ",183.63318,17.335114,5012.0,193.5,1.64,0.46,-2.47,0.17,51.1,21.89,3.84
J121437.17+304345.4,"spec-55919-B5591906_sp03-207            ",183.65488,30.729286,4507.3,225.3,1.84,0.56,-2.2,0.33,18.4,52.1,3.17
J121439.91+045348.0,"spec-57017-HD121955N054017B01_sp10-154  ",183.6663,4.896659,6224.0,189.6,2.64,0.76,-2.87,0.25,28.7,199.13,5.08
J121450.60+182853.1,"spec-56649-HD121513N165426V_sp11-076    ",183.71085,18.481419,5959.9,210.0,3.78,0.55,-2.06,0.12,70.7,19.77,3.77
J121455.40+423615.0,"spec-56359-HD121906N401846F01_sp11-170  ",183.73082,42.60418,5934.5,183.3,3.3,0.64,-2.12,0.14,17.4,-67.61,10.56
J121459.46+113158.4,"spec-56358-HD120710N125907M01_sp07-134  ",183.74774,11.532895,5822.0,239.2,4.07,0.44,-2.27,0.14,21.9,12.27,8.67
J121514.80+113310.7,"spec-56358-HD120710N125907M01_sp07-127  ",183.81168,11.552972,6183.4,203.7,3.11,0.68,-2.41,0.19,19.7,85.94,9.1
J121528.61+182700.6,"spec-57136-HD121513N165426B01_sp11-091  ",183.86919,18.450167,5289.5,190.5,1.73,0.63,-2.4,0.14,118.3,233.16,3.66
J121529.00+265326.9,"spec-57041-HD122624N271605M01_sp10-124  ",183.87082,26.890795,5658.5,307.0,4.32,0.34,-2.13,0.17,25.5,56.1,7.67
J121529.54+013432.9,"spec-56654-HD120800N003716B01_sp13-117  ",183.87306,1.575796,5444.3,289.9,2.65,0.59,-2.22,0.14,23.1,149.81,6.42
J121530.63+285550.6,"spec-56423-HD121027N290405B01_sp08-092  ",183.87762,28.930725,5485.2,274.5,2.39,0.64,-2.07,0.13,85.6,-110.13,3.01
J121531.67+382654.4,"spec-56359-HD121906N401846M01_sp02-023  ",183.88196,38.448437,6141.5,195.1,3.45,0.62,-2.16,0.17,28.0,37.52,7.9
J121533.51+501641.9,"spec-55923-F5592306_sp14-113            ",183.88962,50.27831,6436.1,186.2,3.34,0.62,-2.63,0.23,17.7,-242.74,6.79
J121538.88+334441.7,"spec-56746-HD121251N314746M01_sp11-122  ",183.912,33.744926,5715.5,282.3,4.04,0.41,-2.18,0.14,17.3,6.1,9.2
J121539.65+104959.7,"spec-56329-HD121325N101544B01_sp09-161  ",183.9152,10.833251,4848.4,229.9,1.05,0.45,-2.21,0.29,72.2,53.13,2.69
J121544.95+042333.7,"spec-57064-HD121955N054017B02_sp02-239  ",183.93727,4.392704,6053.0,197.5,3.51,0.51,-2.03,0.12,40.1,184.03,7.15
J121547.69+040526.5,"spec-57064-HD121955N054017B02_sp02-228  ",183.94873,4.090697,6197.0,197.5,3.35,0.6,-2.08,0.14,45.4,-52.13,4.02
J121547.70+040526.5,"spec-56287-HD121955N054017M01_sp02-228  ",183.94875,4.090701,6237.8,212.3,3.51,0.54,-2.06,0.12,31.2,-60.39,8.68
J121610.89+112803.8,"spec-56329-HD121325N101544M01_sp09-065  ",184.04536,11.467714,5987.8,212.3,3.15,0.67,-2.03,0.14,41.4,55.47,5.49
J121611.13+340818.7,"spec-56746-HD121251N314746M01_sp11-038  ",184.04637,34.13852,6053.0,197.5,3.27,0.55,-2.05,0.12,20.6,153.3,8.08
J121612.02+023105.4,"spec-56285-HD122600N020231B01_sp14-248  ",184.05006,2.518156,5949.4,183.4,3.1,0.61,-2.98,0.32,46.6,60.24,4.15
J121612.11+244935.9,"spec-56424-HD122210N244625M01_sp03-051  ",184.05048,24.826649,4957.5,262.1,1.05,0.49,-2.27,0.25,71.2,19.42,4.32
J121623.62+322629.1,"spec-56746-HD121251N314746M01_sp09-040  ",184.09842,32.441406,5762.2,212.3,2.83,0.7,-2.02,0.12,20.0,-94.33,6.82
J121631.41+530802.7,"spec-56343-HD120534N515552M01_sp12-171  ",184.13086,53.134083,6250.0,150.0,3.03,0.58,-2.4,0.2,16.9,-151.59,5.89
J121636.77+300527.0,"spec-56746-HD121251N314746M01_sp07-024  ",184.15321,30.090836,5710.1,275.1,3.44,0.47,-2.52,0.12,15.1,92.03,7.78
J121638.67+264100.2,"spec-56304-HD122624N271605F01_sp10-120  ",184.16112,26.683397,6224.0,189.6,3.21,0.58,-2.28,0.17,27.4,-90.04,8.25
J121644.22+325359.6,"spec-56646-HD121251N314746V01_sp09-067  ",184.18427,32.899876,6224.0,189.6,3.21,0.61,-2.16,0.17,59.8,-84.6,3.63
J121645.94+022857.0,"spec-56285-HD122600N020231M01_sp14-239  ",184.1914,2.482491,6422.6,170.3,3.78,0.45,-2.28,0.17,29.0,123.37,5.3
J121655.49+490036.7,"spec-55923-F5592306_sp10-064            ",184.23122,49.01021,6625.0,135.5,3.64,0.47,-2.22,0.25,17.4,56.01,9.88
J121657.26+304245.2,"spec-55961-B5596106_sp06-094            ",184.23857,30.712564,6347.4,136.2,3.25,0.57,-3.12,0.23,49.4,140.24,6.54
J121657.86-064514.5,"spec-56686-HD122309S071756M01_sp14-169  ",184.24107,-6.75403,6500.0,150.0,3.51,0.56,-3.2,0.24,35.9,198.7,6.01
J121659.86-024423.5,"spec-56660-HD121616S031407V01_sp04-221  ",184.2494,-2.73986,6184.5,183.3,3.59,0.48,-2.15,0.17,56.2,49.07,4.85
J121701.22+483732.9,"spec-57062-HD122233N482110B01_sp03-212  ",184.25508,48.625797,6138.8,136.5,3.3,0.6,-2.94,0.29,28.8,-49.1,6.41
J121708.28+041514.5,"spec-56287-HD121955N054017M01_sp05-204  ",184.28452,4.254036,4823.9,204.3,1.05,0.45,-2.36,0.25,39.4,274.78,3.55
J121722.50+393232.2,"spec-57059-HD121906N401846V01_sp05-157  ",184.34375,39.542274,5750.0,170.5,4.02,0.43,-2.41,0.17,46.8,-62.3,3.18
